Sale Date;Number of Items;Ship State;Ship Country;Currency;Order Value;Coupon Code;Coupon Details;Discount Amount;Shipping;Order Total;Order Net
12/30/17;1;NJ;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;28.66
12/30/17;1;CA;United States;USD;49.00;SALE15;% off;j?l.35;4.00;45.65;35.30
12/29/17;1;MD;United States;USD;59.00;SALE15;% off;aug.85;0.00;50.15;38.81
12/27/17;1;WA;United States;USD;59.00;SALE15;% off;aug.85;4.00;54.15;42.30
12/27/17;1;OR;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;28.98
12/26/17;1;SC;United States;USD;35.00;SALE15;% off;maijs.25;4.00;33.75;26.34
12/25/17;1;Noorderwijk;Belgium;USD;49.00;SALE15;% off;j?l.35;4.00;45.65;45.65
12/25/17;1;GA;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;28.98
12/24/17;1;NewSouthWales;Australia;USD;29.50;;;0.00;4.00;33.50;33.50
12/24/17;1;OK;United States;USD;29.50;;;0.00;4.00;33.50;33.50
12/23/17;2;CO;United States;USD;98.00;;;0.00;4.00;102.00;102.00
12/22/17;1;FL;United States;USD;19.50;;;0.00;4.00;23.50;18.27
12/21/17;1;HI;United States;USD;19.50;;;0.00;4.00;23.50;23.50
12/21/17;1;TX;United States;USD;49.00;SALE15;% off;j?l.35;0.00;41.65;32.55
12/20/17;1;MS;United States;USD;49.00;SALE15;% off;j?l.35;4.00;45.65;35.66
12/19/17;1;FL;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;29.j?n
12/19/17;1;CO;United States;USD;49.00;SALE15;% off;j?l.35;4.00;45.65;35.78
12/19/17;1;CA;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;29.j?l
12/19/17;1;;Israel;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;37.15
12/19/17;1;WA;United States;USD;59.00;SALE15;% off;aug.85;4.00;54.15;42.49
12/19/17;1;CT;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;29.okt
12/19/17;1;NY;United States;USD;19.50;;;0.00;4.00;23.50;18.32
12/19/17;1;FL;United States;USD;39.00;SALE15;% off;maijs.85;4.00;37.15;29.14
12/19/17;1;Denmark;Denmark;USD;39.00;;;0.00;4.00;43.00;33.72
12/18/17;1;PA;United States;USD;49.00;;;0.00;4.00;53.00;41.81
12/18/17;1;FL;United States;USD;39.00;SALE10;% off;marts.90;4.00;39.10;30.76
12/18/17;1;NJ;United States;USD;39.00;SALE10;% off;marts.90;4.00;44.10;44.10
12/18/17;1;MA;United States;USD;49.00;SALE10;% off;apr.90;4.00;48.10;37.87
12/17/17;1;FL;United States;USD;39.00;SALE10;% off;marts.90;4.00;39.10;30.83
12/17/17;1;VA;United States;USD;29.50;;;0.00;4.00;33.50;26.37
12/17/17;1;;France;USD;39.00;SALE10;% off;marts.90;4.00;39.10;30.85
12/17/17;1;IA;United States;USD;39.00;SALE10;% off;marts.90;4.00;39.10;30.83
12/17/17;1;TX;United States;USD;49.00;;;0.00;4.00;53.00;41.92
12/16/17;1;FL;United States;USD;19.50;;;0.00;4.00;23.50;23.50
12/16/17;1;IN;United States;USD;39.00;;;0.00;4.00;43.00;43.00
12/16/17;1;Cheshire;United Kingdom;USD;49.00;;;0.00;4.00;53.00;53.00
12/16/17;1;FL;United States;USD;39.00;;;0.00;4.00;43.00;33.93
12/16/17;1;KY;United States;USD;39.00;;;0.00;4.00;43.00;33.93
12/16/17;1;CA;United States;USD;39.00;;;0.00;4.00;43.00;33.93
12/15/17;1;IN;United States;USD;19.50;;;0.00;4.00;23.50;18.41
